P,I,D,dP,dI,dD,SUM(d)
0.187714,0.0000424868,2.60494,0.00231288,0.00000038607,0.0253734,0.02769
0.190027,0.0000428729,2.60494,0.00208159,0.00000038607,0.0253734,0.02746
0.190027,0.0000421008,2.60494,0.00208159,0.00000038607,0.0253734,0.02746
0.190027,0.0000424868,2.63032,0.00208159,0.000000347463,0.0253734,0.02746
0.190027,0.0000424868,2.57957,0.00208159,0.000000347463,0.0253734,0.02746
0.192108,0.0000424868,2.60494,0.00208159,0.000000347463,0.022836,0.02492
0.187945,0.0000424868,2.60494,0.00208159,0.000000347463,0.022836,0.02492
0.190027,0.0000428343,2.60494,0.00187343,0.000000347463,0.022836,0.02471
0.190027,0.0000421394,2.60494,0.00187343,0.000000347463,0.022836,0.02471
0.190027,0.0000424868,2.62778,0.00187343,0.000000312716,0.022836,0.02471
0.190027,0.0000424868,2.58211,0.00187343,0.000000312716,0.022836,0.02471
0.1919,0.0000424868,2.60494,0.00187343,0.000000312716,0.0205524,0.02243
0.188153,0.0000424868,2.60494,0.00187343,0.000000312716,0.0205524,0.02243
0.190027,0.0000427996,2.60494,0.00168609,0.000000312716,0.0205524,0.02224
0.190027,0.0000421741,2.60494,0.00168609,0.000000312716,0.0205524,0.02224
0.190027,0.0000424868,2.62549,0.00168609,0.000000281445,0.0205524,0.02224
0.190027,0.0000424868,2.58439,0.00168609,0.000000281445,0.0205524,0.02224
0.191713,0.0000424868,2.60494,0.00168609,0.000000281445,0.0184972,0.02018
0.188341,0.0000424868,2.60494,0.00168609,0.000000281445,0.0184972,0.02018
0.190027,0.0000427683,2.60494,0.00151748,0.000000281445,0.0184972,0.02001
0.190027,0.0000422054,2.60494,0.00151748,0.000000281445,0.0184972,0.02001
0.190027,0.0000424868,2.62344,0.00151748,0.0000002533,0.0184972,0.02001
0.190027,0.0000424868,2.58645,0.00151748,0.0000002533,0.0184972,0.02001
0.191544,0.0000424868,2.60494,0.00151748,0.0000002533,0.0166475,0.01817
0.188509,0.0000424868,2.60494,0.00151748,0.0000002533,0.0166475,0.01817
0.190027,0.0000427401,2.60494,0.00136573,0.0000002533,0.0166475,0.01801
0.190027,0.0000422335,2.60494,0.00136573,0.0000002533,0.0166475,0.01801
0.190027,0.0000424868,2.62159,0.00136573,0.00000022797,0.0166475,0.01801
0.190027,0.0000424868,2.58829,0.00136573,0.00000022797,0.0166475,0.01801
0.191393,0.0000424868,2.60494,0.00136573,0.00000022797,0.0149827,0.01635
0.188661,0.0000424868,2.60494,0.00136573,0.00000022797,0.0149827,0.01635
0.190027,0.0000427148,2.60494,0.00122916,0.00000022797,0.0149827,0.01621
0.190027,0.0000422589,2.60494,0.00122916,0.00000022797,0.0149827,0.01621
0.190027,0.0000424868,2.61993,0.00122916,0.000000205173,0.0149827,0.01621
